State,Institution Name,Routing Numbers
Kansas,1ST KANSAS,
Pennsylvania,1st Summit Bank,031316815
Colorado,5Star Bank,307087713
Georgia,AB&T,
Iowa,ACE,273975399
Indiana,ADVANTAGEPLUS OF INDIANA,
Minnesota,AFFINITY PLUS,291276630
Alabama,ALABAMA ONE,
Texas,ALCON EMPLOYEES,
Pennsylvania,ALLEG-KISKI POSTAL,
Michigan,ALLIANCE CATHOLIC,
Michigan,ALPENA-ALCONA AREA,
California,ALTURA,
Pennsylvania,AMERICO,
Louisiana,ANECA,
Oklahoma,ARBUCKLE,
Pennsylvania,ARIZE,
Louisiana,ASCENSION,
Wisconsin,ATHENS AREA,
Virginia,AUGUSTA COUNTY,
Michigan,AUTO-OWNERS ASSOCIATES,
Illinois,A.A.E.C.,
Missouri,Adrian Bank,
Utah,Ally Bank,124003116
New Jersey,Amboy Bank,
California,American Business Bank,
Minnesota,American Heritage National Bank,
Minnesota,Americana Community Bank,
Illinois,Anna State Bank,
Pennsylvania,Armstrong County Building and Loan Association,243373280
Kentucky,Auburn Banking Company,
Florida,"Axiom Bank, National Association",
Oklahoma,BANK360,
Indiana,BATTERY EMPLOYEES,
New Jersey,BAYONNE SCHOOL EMPLOYEES,
Virginia,"BEACON CREDIT UNION, INCORPORATED",
Kansas,BELL,
Michigan,BEST FINANCIAL,
Alabama,BIRMINGHAM CITY,
Illinois,BLOOMINGTON POSTAL EMPLOYEES,
Utah,BMW Bank of North America,
Nebraska,BOX BUTTE PUBLIC EMPLOYEES,
Louisiana,BRECO,
New York,BROCKPORT,
Texas,BROWNSVILLE CITY EMPLOYEES,
Tennessee,BULAB EMPLOYEES,
New York,B.S. AND C.P. HOSPITALS EMPLOYEES,
Missouri,Bank 21,
Virginia,Bank Of Clarke,
Illinois,Bank of Belleville,
Wisconsin,Bank of Cashton,
Louisiana,Bank of Coushatta,
Massachusetts,Bank of Easton,
Oklahoma,Bank of Grand Lake,
Kentucky,Bank of Hindman,
Kentucky,"Bank of Lexington, Inc.",
Nebraska,Bank of Mead,
Florida,Bank of Pensacola,
Texas,Bank of South Texas,
Alabama,Bank of Walker County,
Kansas,Bank of the Flint Hills,101102852
Illinois,"BankChampaign, National Association",
Colorado,Bankers' Bank of the West,
Minnesota,"Battle Bank, National Association",
Louisiana,Beauregard Federal Savings Bank,
Iowa,Benton County State Bank,
Kentucky,Blue Grass Federal Savings and Loan Association,
Wisconsin,Bonduel State Bank,
Texas,Brazos National Bank,
Texas,Broadway National Bank,
Ohio,C E S,
New York,CADETS,
California,CALIFORNIA COMMUNITY,
New York,CANANDAIGUA,
Ohio,"CARDINAL CREDIT UNION, INC.",
Kansas,CATHOLICS UNITED,
California,CENTER CITY COMMUNITY,
Nebraska,CENTRAL NEBRASKA,
Pennsylvania,CENTURY HERITAGE,
Alabama,CHATTAHOOCHEE,
Oklahoma,CHEROKEE STRIP,
Michigan,CHIROPRACTIC,
New York,CHURCH OF THE MASTER,
Tennessee,CITY EMPLOYEES,
Kentucky,CLASS ACT,
Tennessee,CLINCHFIELD,
Louisiana,COAST GUARD EMPLOYEES,
Texas,COCHRAN COUNTY SCHOOLS,
Ohio,COLUMBIANA COUNTY SCHOOL EMPL,
Iowa,COMMUNITY 1ST,
Ohio,COMMUNITY ONE CREDIT UNION OF OHIO,
Florida,COMPASS FINANCIAL,
Virginia,CONNECTS,
Texas,COOPERATIVE TEACHERS,
Texas,CORNER STONE,
New Jersey,COUNTY EXCELLENCE,
Kansas,CREDIT UNION OF AMERICA,
Texas,CREDIT UNION OF TEXAS,
New York,CROUSE,
Utah,CYPRUS,
Illinois,Camp Grove State Bank,
Texas,Carmine State Bank,
Missouri,Cass Commercial Bank,
Nebraska,Cedar Security Bank,
Missouri,Central Bank of Kansas City,
Louisiana,Century Next Bank,
Texas,"Charles Schwab Bank, SSB",
Missouri,Chillicothe State Bank,
Minnesota,Citizens Bank & Trust Co.,
Kentucky,"Citizens Bank of Cumberland County, Inc.",
Kentucky,"Citizens Deposit Bank of Arlington, Inc.",
Minnesota,Citizens State Bank Norwood Young America,
Virginia,Citizens and Farmers Bank,
Texas,"Classic Bank, National Association",
North Carolina,Coastal Carolina National Bank,
Colorado,Colorado Federal Savings Bank,107089885
Pennsylvania,Commercial Bank and Trust of PA,043305092
Alabama,Commonwealth National Bank,
Louisiana,Community Bank of Louisiana,
Florida,Community Bank of the South,
Kansas,Community First National Bank,101114918
Missouri,Community State Bank of Missouri,
Iowa,Connection Bank,
Kentucky,Cornerstone Community Bank,
Missouri,County Bank,
New Jersey,Cross River Bank,
Nebraska,Custer Federal State Bank,
Louisiana,DAVISON EMPLOYEES,
Virginia,DEER LODGE COUNTY SCHOOL EMP,
