State,Institution Name,Routing Numbers
California,1ST NORTHERN CALIFORNIA,321173182
Kentucky,"1st Trust Bank, Inc.",042108449
Louisiana,705,265274503
Missouri,ACADEMIC EMPLOYEES,281580381
Texas,ACFCU,311376740
Florida,ADVENTHEALTH,263181287
New York,AFGM ENTERPRISES,222079822
Alabama,ALABAMA POSTAL,262087515
Pennsylvania,ALCOSE,243083211
North Carolina,ALLEGACY,253177887
New York,ALLIANCE NIAGARA,222382386
Massachusetts,ALPHA,211080602
Texas,AMARILLO POSTAL EMPLOYEES,311376766
New York,AMERICU,221375802
Alabama,ANG,262084893
Pennsylvania,ARC,231379306
Kansas,ARK VALLEY,301177713
Utah,ASCENT,324377710
Massachusetts,ATHOL,211380344
Virginia,AUGUSTA HEALTH CARE CREDIT UNION,251483324
Alabama,AVADIAN,262087528
Pennsylvania,A.B.,231379238
Texas,"Agility Bank, National Association",113026243
Colorado,Alpine Bank,102103407
Florida,"Amerant Bank, National Association",067010509
Illinois,"American Commercial Bank & Trust, National Association",071902399
Nebraska,American Interstate Bank,104910135
Minnesota,"Ameriprise Bank, FSB",091071640
Illinois,Anna-Jonesboro National Bank,081205264
New York,Arrow Bank National Association,
Nebraska,Auburn State Bank,
Pennsylvania,B I,
Minnesota,BANKWEST,
Ohio,BAY AREA,
Texas,BAYOU CITY,
Tennessee,BEACON FINANCIAL,
Colorado,BELLCO,
Ohio,BEST REWARD,
Oklahoma,BISON,
Missouri,BLUCURRENT,
Texas,BOC Bank,
Pennsylvania,BRADFORD AREA SCHOOL EMPLOYEES,
Texas,BRENTWOOD BAPTIST CHURCH,
Wisconsin,BROKAW,
Virginia,BRUNSWICK COUNTY TEACHERS,
Illinois,BURLINGTON NORTHERN SANTA FE RAILWY,
Wisconsin,Badger Bank,
Wisconsin,Bank Cmg,
Iowa,Bank Plus,
Missouri,Bank of Billings,
New York,Bank of Cattaraugus,
Missouri,Bank of Crocker,
Kentucky,Bank of Edmonson County,
Missouri,Bank of Grandin,
New York,Bank of Holland,
Tennessee,Bank of Lincoln County,
New York,Bank of Millbrook,
Tennessee,Bank of Perry County,
Louisiana,Bank of St. Francisville,
Missouri,Bank of Washington,
Virginia,Bank of the James,051409016
Minnesota,BankCherokee,096000580
Wisconsin,Bankers' Bank,075918460
Nebraska,Battle Creek State Bank,104113521
Indiana,Bedford Federal Savings Bank,283971600
New Jersey,Bessemer Trust Company,026008756
Iowa,Blue Grass Savings Bank,073912086
Louisiana,"Bonvenu Bank, National Association",111103524
Iowa,Breda Savings Bank,073912196
Nebraska,Bruning Bank,104106693
Illinois,C T A F C,271078557
California,CAHP,321175232
California,CALIFORNIA LITHUANIAN,322282386
Ohio,CANTON SCHOOL EMPLOYEES,241274459
Ohio,CAREY POVERELLO,241274653
Tennessee,CBBC Bank,064202501
Georgia,CENTER PARC,061293018
Massachusetts,CENTRAL ONE,211387169
California,CERTIFIED,322084827
Tennessee,CHATTANOOGA AREA SCHOOLS,261388312
Pennsylvania,CHESWICK ATOMIC DIVISION,243382271
Ohio,CHIVAHO,244274744
Ohio,CINCINNATI EMPLOYEES,042286905
Massachusetts,CITY OF BOSTON,211080822
Louisiana,CLB The Community Bank,111101911
Wisconsin,CLOVERBELT,275982283
Texas,COASTAL BEND P O,313189744
Ohio,CODE,
Colorado,COLUMBINE,302075131
Oklahoma,COMMUNITY BANK OF OKLAHOMA,103105488
Illinois,COMMUNITY PLUS,271188078
Texas,COMPLEX COMMUNITY,316386832
Georgia,CONNEX,211178200
New York,COOPERS CAVE,221375682
New York,CORNERSTONE COMMUNITY,222381293
California,COUNTY SCHOOLS,322283518
Georgia,CREDIT UNION OF ATLANTA,261071140
Colorado,CREDIT UNION OF THE ROCKIES,307076232
Minnesota,CROW WING POWER,091981688
Utah,Cache Valley Bank,124302930
Illinois,Campus State Bank,071112040
Tennessee,Carroll Bank and Trust,084304272
Minnesota,Castle Rock Bank,091913148
Iowa,Cedar Valley Bank & Trust,073914864
Illinois,Central Federal Savings and Loan Association,271971502
New Jersey,Century Savings Bank,231270366
Texas,"Charles Schwab Premier Bank, SSB",122105773
California,"Chino Commercial Bank, N.A.",122243062
Louisiana,"Citizens Bank & Trust Company of Vivian, Louisiana",111101694
Illinois,Citizens Bank of Edinburg,071123518
Kansas,Citizens Federal Savings Bank,301170943
Kansas,"Citizens State Bank and Trust Co., Ellsworth, Kansas",101102496
Missouri,Citizens' Bank of Charleston,081518524
Georgia,Classic City Bank,061121481
Massachusetts,Coastal Heritage Bank,211371492
Wisconsin,Columbia Savings and Loan Association,275071217
California,Commercial Bank of California,122243596
Minnesota,Community Bank Mankato,091915890
Missouri,Community Bank of Marshall,101903637
Virginia,Community Bankers' Bank,051005106
Texas,Community National Bank & Trust of Texas,
Pennsylvania,Community State Bank of Orbisonia,
Missouri,Connections Bank,
Illinois,Cornerstone National Bank & Trust Company,
Michigan,County National Bank,
Wisconsin,Crossbridge Community Bank,
Florida,Cypress Bank & Trust,
Ohio,DAY AIR,
Minnesota,DEER RIVER COOPERATIVE,
Colorado,DENVER FIRE DEPARTMENT,
California,DESERT VALLEYS,
New York,DIRECTORS CHOICE,
New Jersey,DIVISION 819 TRANSIT EMPLOYEES,
Texas,DOMINO,
Indiana,DUBOIS-PIKE,
Ohio,DYNAMIC,
Iowa,DeWitt Bank & Trust Co.,
Louisiana,Delta Bank,
Alabama,Dozier Bank,
Georgia,EAGLE EXPRESS,
New Jersey,EAST ORANGE VA HOSPITAL,
New Jersey,EDIFI,
California,EDUCATIONAL EMPLOYEES,
Minnesota,ELECTRIC MACHINERY EMPLOYEES,
Illinois,ELITE COMMUNITY,
Florida,EMERALD COAST,
Kansas,EMPOWER BLUE,
New Jersey,ENERGY PEOPLE,
Pennsylvania,EQT,
California,ESCONDIDO,
Illinois,EVERGREEN PARK SCHOOLS,
Virginia,EagleBank,
Florida,Echelon Bank,
Pennsylvania,Embassy Bank for the Lehigh Valley,
Louisiana,Eureka Homestead,
Oklahoma,Exchange Bank and Trust Company,
California,F3,
Michigan,FAMILY FINANCIAL,
Texas,FARMERS BRANCH CITY EMPLOYEES,
Minnesota,FEDERATED EMPLOYEES,
New York,FIDELIS,
Pennsylvania,FINANTA,
New Jersey,FIRST ATLANTIC,
Massachusetts,FIRST CITIZENS',
Nebraska,FIRST LINCOLN,
Pennsylvania,FIRST PEOPLES COMMUNITY,
Ohio,FIRSTENERGY FAMILY,
Florida,FLORIDA A & M UNIVERSITY,
Kansas,FNB Washington,
Michigan,FOREST AREA,
Alabama,FORT MCCLELLAN,
North Carolina,FOUNDERS,
Pennsylvania,FRANKLIN MINT,
California,FRESNO POLICE DEPARTMENT,
Illinois,FUNERAL SERVICE,
Minnesota,Falcon National Bank,
Illinois,"Farmers State Bank of Alto Pass, Ill.",
California,Farmers & Merchants Bank of Central California,
Kansas,"Farmers and Merchants Bank of Mound City, Kansas",
