State,Institution Name,Routing Numbers
New Jersey,1ST BERGEN,021283916
Illinois,1st Equity Bank,071925693
Michigan,4FRONT,272485385
Kentucky,ABOUND,283978425
Texas,ACCESS COMMUNITY,311376902
Pennsylvania,ACNB Bank,031309945
Pennsylvania,AFFILIATED TRADES,011103093
New York,AKRON SCHOOL EMPLOYEES,226073163
New York,ALCO,022103394
Massachusetts,ALL ONE,211370859
Indiana,ALLEGIUS,065923034
North Carolina,ALLVAC SAVINGS AND,255073691
Illinois,ALTON MUNICIPAL EMPLOYEES,073010929
California,AMERICA'S CHRISTIAN,321081651
Alabama,ANDALUSIA MILLS EMPLOYEES CREDIT AS,062002089
Louisiana,ARABI SUGAR WORKERS,061000144
Virginia,ARGENT,051401525
California,ARROWHEAD,321081668
Minnesota,ASSOCIATED HEALTHCARE,065002167
Massachusetts,ATTLEBORO M E,211370859
Minnesota,AUSTIN CITY EMPLOYEES,073010929
Alabama,AZALEA CITY,062002089
Nebraska,Adams County Bank,
Texas,Alliance Bank Central Texas,
Illinois,Amalgamated Bank of Chicago,071003405
Oklahoma,American Bank and Trust Company,103901569
Utah,American Express National  Bank,
California,American Riviera Bank,122244333
Kansas,Andover State Bank,101112046
Minnesota,Arlington State Bank,091904322
Kansas,Astra Bank,101102344
Texas,Avana Bank,111311743
California,BAKERSFIELD CITY EMPLOYEES,
Tennessee,BASF CHATTANOOGA,063101108
Virginia,BAYLANDS FAMILY,051401525
Virginia,BEACH MUNICIPAL,051401525
New York,BEGINNINGS,226073163
Utah,BERKELEY COUNTY PUBLIC SCHOOLS,053012906
Alabama,BHM Bank,062002089
Minnesota,BLAZE,066002135
California,BLUPEAK,321081668
Missouri,BOTHWELL HOSPITAL EMPLOYEES,073010929
Texas,BRAZOS STAR,113003024
Florida,BRIGHTSTAR,065001737
Florida,BROWARD HEALTHCARE,065001737
New York,BUFFALO METROPOLITAN,226073163
Pennsylvania,B. BRAUN,051401525
Texas,Bandera Bank,114918305
California,Bank Irvine,122245387
New York,Bank of Baroda,026005322
Kentucky,Bank of Cadiz and Trust Company,083901207
Kentucky,Bank of Columbia,083903098
Tennessee,Bank of Dickson,064108236
Illinois,Bank of Farmington,071105882
Nebraska,Bank of Hartington,104110977
Illinois,Bank of Kampsville,081913860
California,Bank of Marin,121141877
Illinois,Bank of O'Fallon,081023019
New York,Bank of Richmondville,021308396
Utah,Bank of Utah,124300107
Illinois,Bank of Yates City,071116813
Tennessee,Bank3,084304968
Tennessee,BankTennessee,284073785
Illinois,"Barrington Bank & Trust Company, National Association",071925651
Michigan,Baybank,
North Carolina,"Belmont Savings Bank, SSB",253170088
Wisconsin,Black River Country Bank,
Nebraska,Boelus State Bank,
Missouri,Branson Bank,
Massachusetts,Bristol County Savings Bank,211370859
Illinois,Buena Vista National Bank,081905292
Louisiana,CABOT EMPLOYEES,
Florida,CALHOUN LIBERTY,
California,CAMINO,
Texas,CAPROCK SANTA FE,
Iowa,CASEBINE COMMUNITY,
Texas,CEN TEX MANUFACTURING,
Kansas,CENTRAL KANSAS EDUCATION,
Virginia,CENTRAL VIRGINIA,
Alabama,CHAMPION COMMUNITY,262284253
New York,CHEN-DEL-O,
Michigan,CHIEF FINANCIAL,
Ohio,CHRISTO REY,
Pennsylvania,CITADEL,
Missouri,CIVIC CENTRAL,
Tennessee,CLEVELAND-BRADLEY CTY TEACHER,
Minnesota,CO-OP CREDIT UNION OF MONTEVIDEO,
Florida,COASTLINE,263079409
